 ENTREE,TITRE,AUTEUR,SERIE,COTE,EDITION,COMMENTAIRES,THEME_OUVRAGE,TYPE_OUVRAGE
2083,Les Archives du marechal Ney et de sa famille,"SAINT-EXUPERY, Simone de; TOURTIER, Chantal de",UO,UO Archi Ney Thiry ,"Archives nationales, 1962, 249 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2084,Bibliographie napoleonienne,"KIRCHEISEN, Friedrich Max",UO,UO Bibli Kirch Thiry ,"Librairie militaire R. Chapelot, Paris, 1902, 189 p.",Edition originale du n° UO 4028.,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2086,Dictionnaire biographique des generaux et amiraux français de la Revolution et de l Empire - Tome 1,"SIX, Georges",UO,UO Dicti Six Thiry ,"Georges Saffroy, Paris, 1934, tome 1 . 614 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2087,Dictionnaire biographique des generaux et amiraux français de la Revolution et de l Empire - Tome 2,"SIX, Georges",UO,UO Dicti Six Thiry ,"Georges Saffroy, Paris, 1934, tome 2 . 588 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2091,Les Sources de l Histoire de France depuis 1789 aux Archives Nationales,"SCHMIDT, Charles",UO,UO Archi Schm Thiry ,"Honore Champion, 1907, 288 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2098,"Napoleon, Peuples et Civilisations, Histoire generale","LEFEBVRE, Georges",UO,UO Lefebv Thiry ,"Presses Universitaires de France, 1941, 606 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2115,"Correspondance du marechal Davout, ses commandements, son ministere - Tome 1","DAVOUT (marechal, prince d Eckmulh)",UO,UO Archi Thiry  ,"Plon, Paris, 1885, tome 1 . 470 p.",Introduction et notes de Ch. de Mazade,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2116,"Correspondance du marechal Davout, ses commandements, son ministere - Tome 2","DAVOUT (marechal, prince d Eckmulh)",UO,UO Archi Thiry  ,"Plon, Paris, 1885, tome 2 . 554 p.",Introduction et notes de Ch. de Mazade,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2117,"Correspondance du marechal Davout, ses commandements, son ministere - Tome 3","DAVOUT (marechal, prince d Eckmulh)",UO,UO Archi Thiry  ,"Plon, Paris, 1885, tome 3 . 560 p.",Introduction et notes de Ch. de Mazade,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2118,"Correspondance du marechal Davout, ses commandements, son ministere - Tome 4","DAVOUT (marechal, prince d Eckmulh)",UO,UO Archi Thiry  ,"Plon, Paris, 1885, tome 4 . 638 p.",Introduction et notes de Ch. de Mazade,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2126,Essais d Histoire et de Critique,"SOREL, Albert",UO,UO Sorel Thiry ,"Plon, Paris, 1883, 285 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2155,"Histoire du Gouvernement parlementaire en France, 1814 - 1848 - Tome 1","HAURANNE, M. Duvergier de, Ernest",UO,UO Haura Thiry ,"Calmann-Levy, Paris, 1870/1875, tome 1 . 601 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2156,"Histoire du Gouvernement parlementaire en France, 1814 - 1848 - Tome 2","HAURANNE, M. Duvergier de, Ernest",UO,UO Haura Thiry ,"Calmann-Levy, Paris, 1870/1875, tome 2 . 624 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2157,"Histoire du Gouvernement parlementaire en France, 1814 - 1848 - Tome 3","HAURANNE, M. Duvergier de, Ernest",UO,UO Haura Thiry ,"Calmann-Levy, Paris, 1870/1875, tome 3 . 547 p.",Mauvais etat,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2234,"Correspondance et Relations de J. Fievee avec Bonaparte, Premier Consul et Empereur - Tome 1","FIEVEE, Joseph",UO,UO Fiev Thiry  ,"Desez et Beauvais, 1836, tome 1 . 242 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2235,"Correspondance et Relations de J. Fievee avec Bonaparte, Premier Consul et Empereur - Tome 2","FIEVEE, Joseph",UO,UO Fiev Thiry  ,"Desez et Beauvais, 1836, tome 2 . 410 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2236,"Correspondance et Relations de J. Fievee avec Bonaparte, Premier Consul et Empereur - Tome 3","FIEVEE, Joseph",UO,UO Fiev Thiry  ,"Desez et Beauvais, 1836, tome 3 . 362 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2418,Almanach royal pour les annees 1814 - 1815,TESTU (imprimeur),UO,UO Alma 14 Thiry ,"Testu, Paris, 1815, 831 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2422,Histoire de  France contemporaine - Tome 3,"LAVISSE, Ernest",UO,UO Lavis Thiry ,"Hachette, Paris , 1921, tomes 3 - 4 - 5. Le Consulat et l Empire. La Restauration. La Monarchie de Juillet, tome 3 . 444 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2423,Histoire de  France contemporaine - Tome 4,"LAVISSE, Ernest",UO,UO Lavis Thiry ,"Hachette, Paris , 1921, tomes 3 - 4 - 5. Le Consulat et l Empire. La Restauration. La Monarchie de Juillet, tome 4 . 400 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2424,Histoire de  France contemporaine - Tome 5,"LAVISSE, Ernest",UO,UO Lavis Thiry ,"Hachette, Paris , 1921, tomes 3 - 4 - 5. Le Consulat et l Empire. La Restauration. La Monarchie de Juillet, tome 5 . 410 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2425,L Europe et la Revolution française - Vol 1 . Les mœurs politiques et les traditions,"SOREL, Albert",UO,UO Sorel ,"Bibliotheque des Introuvables, 2003, tome 1 . 562 p.",Remplace le precedent mis dans les doubles,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2426,L Europe et la Revolution française - Vol 2 . La chute de la royaute,"SOREL, Albert",UO,UO Sorel,"Bibliotheque des Introuvables, 2003, tome 2 . 574 p. ",Remplace le precedent mis dans les doubles,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2427,L Europe et la Revolution française - Vol 3 . La guerre aux rois,"SOREL, Albert",UO,UO Sorel,"Bibliotheque des Introuvables, 2003, tome 3 . 556 p. ",Remplace le precedent mis dans les doubles,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2428,L Europe et la Revolution française - Vol 4 . Les limites naturelles,"SOREL, Albert",UO,UO Sorel,"Bibliotheque des Introuvables, 2003, tome 4 . 492 p. ",Remplace le precedent mis dans les doubles,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2429,L Europe et la Revolution française - Vol 5 . Bonaparte et le Directoire,"SOREL, Albert",UO,UO Sorel,"Bibliotheque des Introuvables, 2003, tome 6 . 527 p.",Remplace le precedent mis dans les doubles,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2430,L Europe et la Revolution française - Vol 6 . La trêve - Luneville et Amiens,"SOREL, Albert",UO,UO Sorel,"Bibliotheque des Introuvables, 2003, tome 6 . 527 p.",Remplace le precedent mis dans les doubles,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2431,L Europe et la Revolution française - Vol 7 . Le blocus continental - Le grand Empire,"SOREL, Albert",UO,UO Sorel,"Bibliotheque des Introuvables, 2003, tome 7 . 606 p. ",Remplace le precedent mis dans les doubles,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
2432,"L Europe et la Revolution française - Vol 8 . La coalition, les traites de 1815","SOREL, Albert",UO,UO Sorel,"Bibliotheque des Introuvables, 2003, tome 8 . 606 p. ",Remplace le precedent mis dans les doubles,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
3014,Dictionnaire de la Grande Armee,"PIGEARD, Alain",UO,UO Dicti Pigea  d.e.,"Tallandier, Collection Bibliotheque Napoleonienne, 2002, 816 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
3073,Dictionnaire de la Revolution et de l Empire,"MELCHIOR-BONNET, Bernardine",UO,UO DICTI Melch S. N.,"Larousse, 1965, 320 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
3082,Dictionnaire Napoleon,"TULARD, Jean (sous la direction de)",UO,UO DICTI Tular S. N.,"Fayard, 1987, 1768 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
3106,"Quand la France occupait l Europe, 1792-1815","LAURENT, Jacques; VARENNE, Alberic",UO,UO Laure Europe G. Abitbol,"Perrin, Paris, 1979, 604 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
3256,Bibliographie napoleonienne,"MARTIN, Roger; PIGEARD, Alain",UO,UO Bibli Mar/Pig,"Editions Clea, 2010, 1451 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
3267,L epopee imperiale racontee par la Grande Armee,"FLEISCHMAN, Theo",UO,UO Fleisc,"Librairie Academique Perrin, 1964, 525 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
3277,Alexandrie - Histoire d un mythe,"CLAUDEL, Paul-Andre",UO,UO Claud ,"Ellipses, 2011, 373 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
3282,"Les murailles revolutionnaires (professions de foi, affiches, decrets, bulletins de la Republique, fac-simile de signatures)",ARCHIVES ,UO,UO Archives,"J. Bry Editeur, 1852, 956 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4015,Psychopathologie de l Histoire de France ,"MOSNIER, Robert",UO,UO MOS,"Auto-edition, s. d., 116 p.",Grand format,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4016,La France des notables - 1. L evolution generale (1815-1848),"JARDIN, A.; TUDESQ A.-J.",UO,UO Jardin,"Editions du Seuil, 1973, 254 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4017,L episode napoleonien - Aspects excterieurs (1799-1815),"LOVIE, J.; PALLUEl-GUILLARD, A.",UO,UO Lovie,"Editions du Seuil, 1972, 247 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4018,Le Guide Napoleon - 4000 lieux pour revivre l epopee,"CHAPPET, Alain; MARTIN , Roger; PIGEARD Alian",UO,UO Chappet,"Tallandier, Collection Bibliotheque Napoleonienne, 2005, 976 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4019,Guide Napoleon,"CHAPPET, Alain; MARTIN, Roger; PIGEARD, Alain",UO,UO Chappet,"Charles Lavauzelle, 1981, 383 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4020,Livres historiques et documentaires,"TEISSEDRE, Fabrice",UO,UO Tess,"Libraiurie histprique Clavreuil, 2006, 337 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4021,"Les ombres de l Empire - Approches anthropologiques, archeologiques et historiques de la Grande Armee",MUSEE DE L ARMEE,UO,UO Musee Armee,"Cahiers d etudes et de recherches du musee de l Armee, 2009, 467 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4022,Armorial du Premier Empire,"LAMARQUE, Philippe",UO,UO LAM,"Editions du Gui, 2008, 639 p.",Grand format,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4023,Dictionnaire des avocats du Barreau de Paris en 1811 apres le retablissement des barreaux par Napoleon Ier,"ROBERT, Herve; BERTHOLET, Philippe; OTTAVIANO, Frederic",UO,UO Dicti,"Riveneuve Editions, 2011, tome 1 . pages 1 a 605.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4024,Dictionnaire des avocats du Barreau de Paris en 1811 apres le retablissement des barreaux par Napoleon Ier,"ROBERT, Herve; BERTHOLET, Philippe; OTTAVIANO, Frederic",UO,UO Dicti,"Riveneuve Editions, 2011, tome 2 . pages 605 a 1209.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4025,Les demoiselles du bicentenaire,"HERRENSCHMIDT, Noëlle",UO,UO Herren,"Double, 2006, pages non numerotees.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4026,Nouvelle bibliographie critique des memoires sur l epoque napoleonienne,"TULARD, Jean (sous la direction de)",UO,UO Bibli,"Droz, 1991, 312 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4027,Bibliographie critique des memoires sur la Restauration,"BERTIER DE SAUVIGNY, Guillaume; FIERRO, Alfred",UO,UO Bibli,"Droz, 1988, 312 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4028,Bibliographie du temps de Napoleon,"KIRCHEISEN, Frederic",UO,UO Bibli,"Burt Franklin, 1968, tome 1 . 208 p.",Edition posterieure et differente du n° UO 2084,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4029,Memoires d Empire,"TEISSEDRE, Fabrice",UO,UO Bibli,"Librairie historique F. Teissedre, 2000, tome 1 . 214 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4030,Memoires d Empire,"TEISSEDRE, Fabrice",UO,UO Bibli,"Librairie historique F. Teissedre, 2001, tome 2 . 215 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4031,Catalogue 26,"TEISSEDRE, Fabrice",UO,UO Bibli,"Librairie historique F. Teissedre, s.d., 228 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4032,Catalogue 28,"TEISSEDRE, Fabrice",UO,UO Bibli,"Librairie historique F. Teissedre, s.d., 232 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4033,Catalogue 30,"TEISSEDRE, Fabrice",UO,UO Bibli,"Librairie historique F. Teissedre, s.d., 319 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4034,Catalogue 31,"TEISSEDRE, Fabrice",UO,UO Bibli,"Librairie historique F. Teissedre, s.d., 331 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4035,Bibliographie française sur la marine et les colonies (1789-1815),"ROQUINCOURT, Thierry",UO,UO Bibli,"Lettrage Distribution, 1999, 499 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4036,Chroniques mysterieuses des rues de Paris,"FIERRO, Alfred; POTTIER, Pascal",UO,UO Gen,"Arcadia Editions, 2007, 235 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4037,Chronologie de l histoire de France,INCONNU,UO,UO Gen,"LGLM, 2001, 415 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4038,Dictionnaire des marechaux de Napoleon,"JOURQUIN, Jacques",UO,UO Dicti,"Tallandier, 1986, 172 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4039,Dictionnaire des officiers d administration du service de sante morts aux armees ou victimes du devoir,"LINON, Pierre-jean",UO,UO Dicti,"Eremm, 2017, 207 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4040,La Legion d honneur - 1802/1900,"BONNEVILLE de MARSANGY, L.",UO,UO BON,"Henri Laurens editeur, 1900, 396 p.",Grand format,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4041,Tableaux d histoire contempraine de 1789 a nos jours,"BRIAND, H.",UO,UO BRI,"Imprimerie et librairie classiques, Delalain Freres, 1905, 229 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4042,La liberte en marche de la Republique a l Empire,"CASTEX, Pierre; SIO, Eric",UO,UO CAS,"Larousse, 1977, pages 723 a 864.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4043,Les histoires de l Histoire de France,"MIQUEL, Pierre",UO,UO MIQ,"France Loisirs, Hachette, 1980, 117 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4045,Histoires de France,"TRAVERSE, Marcelin",UO,UO TRA,"Hachette, 1976, 97 p.",Grand format,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4046,L Europe napoleonienne,"SAINT-YVES, Paul",UO,UO SAI,"Robert Laffont, 1978, 116 p.",Grand format,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4049,Histoire de France,"KIRCHHOFF, Elisabeth",UO,UO KIR,"EDDL, 1997, 132 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4050,Les noms graves sur l Arc de Triomphe,"DIVRY, Arnauld",UO,UO DIV,"Editions SPM, 2017, 572 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4051,Societes secretes - Leur veritable rôle dans l Histoire,"MOTTEZ, Vincent",UO,UO MOT,"Editions First, 2017, 320 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4052,"Armorial du Premier Empire - Titres, majorats et armoiries concedes par Napoleon Ier","REVEREND, A. Vte",UO,UO REV,"Librairie Honore Champion Editeur, 1974 - tome 1 . de A a K - 372 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4053,"Armorial du Premier Empire - Titres, majorats et armoiries concedes par Napoleon Ier","REVEREND, A. Vte",UO,UO REV,"Librairie Honore Champion Editeur, 1974 - tome 2 . de L a Z - 420 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4054,Dictionnaire des generaux etrangers de Napoleon,"PIGEARD, Alain",UO,UO PIG,"SOTECA, 2016, 355 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4055,Nouvel altlas historique,"SERRYN, Pierre; BLASSELLE, Rene",UO,UO SER,"Bordas, 1957, 40 p.",Grand format,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4056,L epopee imperiale d Ajaccio a Sainte-Helene,"MAZE, Jules",UO,UO MAZ,"Maison Alfred Mame & fils, s.d., 400 p.",Grand format,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4057,Dictionnaire des braves de Napoleon,"MOLIERES, Michel (colonel); GRIFFON DE PLEINEVILLE, Natalia",UO,UO MOL,"Le Livre Chez Vous, 2004, tome 1 . de 1 a 646 p.; tome 2 . de 647 a 1189 p.",Coffret,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
4058,Les archives Murat,ARCHIVES NATIONALES,UO,UO AN,"SEVPEN, 1967, 303 p.",,Generalites - Almanachs - Archives  - Bibliographies -  Dictionnaires - Encyclopedies - Genealogie – Repertoires,ouvrage a caractere general
3113,"Les secrets de l Elysee, de la duchesse de Pompadour a Jacques Chirac","POISSON, Georges",UA,UA POI,"Timee- Editions, 92-Boulogne, 2006, 144 p.",,Arts,ouvrage a caractere general
3138,"Les itineraires de Vivant Denon, dessinateur et illustrateur","DUPUY-VACHET, Marie-Anne
",UA,UA DUP,"Le Bec en l air editions,  2007, 106 p.",Ouvrage illustre,Arts,ouvrage a caractere general
3142,Le musee des beaux-arts d Arras,"NOTTER, Annick",UA,UA ARR,"Fondation Paribas, Paris, 1998, 128 p.",Grand format,Arts,ouvrage a caractere general
3143,Un musee imperial,AMIS DES MUSEES DE CHATEAUROUX,UA,UA Châteaurou Collectif,"Lancosme editeur, Tours, 2009, 267 p.",Grand format,Arts,ouvrage a caractere general
3150,"Le service ""iconographique antique"" du cardinal Fesch","VERRIE, Herve de la",UA,UA VER,"Editions de la reunion des musees nationaux, 2007, 93 p.",,Arts,ouvrage a caractere general
3152,Lectures historiques,"LESOURD, E.",UA,UA LES,"F. Lanore Editeur, 1935, 361 p.",,Arts,ouvrage a caractere general
3153,La veritable origine de l arc de triomphe de l Etoile (janvier-août 1806),"CASSAIGNEAU, Jean",UA,UA CAS,"Edition hors commerce, 208, 173 p.",,Arts,ouvrage a caractere general
3154,Marques et sculptures de la porcelaine française,"LE DUC, Genevieve; CURTIL, Henri",UA,UA LED,"Editions Charles Massin, s.d., 174 p.",,Arts,ouvrage a caractere general
3155,Marques et sculptures de la faïence française,"CURTIL, Henri",UA,UA CUR,"Editions Charles Massin, s.d., 152 p.",,Arts,ouvrage a caractere general
3156,Napoleon Ier ou la legende des arts (1800-1815),CATALOGUE EXPOSITION,UA,UA CAT,"Editions de la reunion des musees nationaux, 2015, 200 p.",Grand format,Arts,ouvrage a caractere general
3157,Marcion - Ebeniste de Napoleon,"PLANCHON, Jean-Pierre",UA,UA MAR,"Editions Monelle Hayot, 2007, 240 p.",Grand format,Arts,ouvrage a caractere general
3158,Decors d Empire,"CHEVALIER, Bernard",UA,UA CHE,"De Monza editeur, Paris, 2008, 231 p. ",Grand format,Arts,ouvrage a caractere general
3159,Dictionnaire de l ameublement et de la decoration depuis le XIIIe siecle jusqu a nos jours,"HAVARD, Henry",UA,UA HAV,"Maison Quantin, s.d., tome 1 . 1088 p.",Grand format,Arts,ouvrage a caractere general
3160,Dictionnaire de l ameublement et de la decoration depuis le XIIIe siecle jusqu a nos jours,"HAVARD, Henry",UA,UA HAV,"Maison Quantin, s.d., tome 2 . 1252 p.",Grand format,Arts,ouvrage a caractere general
3161,Dictionnaire de l ameublement et de la decoration depuis le XIIIe siecle jusqu a nos jours,"HAVARD, Henry",UA,UA HAV,"Maison Quantin, s.d., tome 3 . 1224 p.",Grand format,Arts,ouvrage a caractere general
3162,Dictionnaire de l ameublement et de la decoration depuis le XIIIe siecle jusqu a nos jours,"HAVARD, Henry",UA,UA HAV,"Maison Quantin, s.d., tome 2 . 1640 p.",Grand format,Arts,ouvrage a caractere general
3163,Grosbois,"GUILLEMARD, Roger",UA,UA GUI,"Maury Imprimeur, 1993, 177 p.",Grand format,Arts,ouvrage a caractere general
3164,Le musee Fesh - Ajaccio,"ROCHE, Marie-Dominique",UA,UA ROC,"Editions Dia, 1993, 245 p.",Grand format,Arts,ouvrage a caractere general
3165,Les verres a inclusion du XIXe siecle - Cristallo-cerames et emaux,"DARNIS, Leon",UA,UA DAR,"Imprimerie Cinq Editions, 2006, 279 p.",Grand format,Arts,ouvrage a caractere general
3166,L opera de Charles Garnier - architecture et decor exterieur,"FONTAINE, Gerard",UA,UA FON,"Editions du patrimoine, 2000, 143 p.",Grand format,Arts,ouvrage a caractere general
3168,La Malmaison,"ROUDIL, Renee",UA,UA ROU,"Editions Atlas, 1984, 76 p.",,Arts,ouvrage a caractere general
3169,Le musee Jacquemart-Andre,INCONNU,UA,UA INC,"Institut de France, s.d., 59 p.",Grand format,Arts,ouvrage a caractere general
3170,Villa Pisani,"FORNEZZA, A.; RALLO, G.",UA,UA FOR,"Medoacus Editions, 2000, 64 p.",,Arts,ouvrage a caractere general
3171,"28, rue de Monceau - Hôtel Murat","GUTZWILLER, Cecile",UA,UA GUT,"Editions Desgrandchamps, 2017, 221 p.",,Arts,ouvrage a caractere general
3172,L. David et la peinture napoleonienne,"RAIMONDI, Luciano",UA,UA RAI,"Gruppo Editoriale Fabbri spa, 1969, 45 p.",Grand format,Arts,ouvrage a caractere general
