 ENTREE,TITRE,AUTEUR,SERIE,COTE,EDITION,COMMENTAIRES,THEME_OUVRAGE,TYPE_OUVRAGE
3601,Josephine,"CASTELOT, Andre",N,N CAS,"Perrin, 1964, 634 p.",,Napoleon I et les Napoleonides,
3602,Napoleon et les femmes - la vie amoureuse de l Empereur,"MASSON, Frederic",N,N MAS,"Famot, 1974, 253 p.",,Napoleon I et les Napoleonides,
3603,Napoleon - L immortel de Sainte-helene,"GALLO, Max",N,N GAL,"France Loisirs, 1997, 460 p.",,Napoleon I et les Napoleonides,
3604,Napoleon - Les Cent-Jours,"SIEBURG, Friedrich",N,N SIE,"Club des Editeurs, s.d., 449 p. + annexes.",,Napoleon I et les Napoleonides,
3605,"Napoleon Ier, sa vie, son regne","MEYNIEL, Leon",N,N MEY,"Librairie Delagrave, 1937, 230 p.",,Napoleon I et les Napoleonides,
3606,"Napoleon, epopee cinematographique","GANCE, Abel",N,N GAN,"Editions Jacques Bertoin, 1991, 257 p.",,Napoleon I et les Napoleonides,
3607,"Le ""divorce"" de Napoleon et l imperatrice Josephine","GREGOIRE, Louis",N,N GRE,"Letouzey & Ane, 1957, 244 p.",,Napoleon I et les Napoleonides,
3608,Napoleon captif a Sainte-Helene - Memorial de sir Hudson Lowe,"JURANVILLE, Clarisse",N,N JUR,"J. Lefort, Imprimeur, Editeur, s.d. , 216 p.",,Napoleon I et les Napoleonides,
3609,"Napoleon - Le conquerant, le legislateur, le mythe","GALLO, Max",N,N GAL,"Le Figaro, L Express, 2011, 376 p.",,Napoleon I et les Napoleonides,
3610,Napoleon et ses grognards,"DUPONT, Marcel",N,N DUP,"Lavauzelle, 1981, 190 p.",,Napoleon I et les Napoleonides,
3611,Soldats de Napoleon,"LUCAS-BRETON, J. ",N,N LUC,"Flammarion, 1948, 319 p.",,Napoleon I et les Napoleonides,
3613,Les sultanes de Bonaparte,"TORQUET, Alexandre",N,N TOR,"Le poche de poche, 1998, 413 p.",,Napoleon I et les Napoleonides,
3614,La mort de l Aiglon,"AUBRY, Octave",N,N AUB,"Flammarion, 1936, 126 p.",,Napoleon I et les Napoleonides,
3615,Marie-Louise - Femme de Napoleon Ier (1791 - 1847),"BERTAUT, Jules",N,N BER,"Le club du livre du mois, 1952, 276 p.",,Napoleon I et les Napoleonides,
3616,Napoleon - Les premieres lezardes,"MISTLER, Jean",N,N MIS,"Editions Rencontre lausanne, 1969, tome 9 . 191 p.",,Napoleon I et les Napoleonides,
3617,Telle fut Josephine,"NORMAND, Suzanne",N,N NOR,"Editions du Sud, 1962, 331 p.",,Napoleon I et les Napoleonides,
3618,Josephine amoureuse,"JANSSENS, Jacques",N,N JAN,"Editions France-Empire, 1978, 296 p.",,Napoleon I et les Napoleonides,
3619,Napoleon a Sainte-Helene - La lutte contre Hudson Lowe,"GANIERE, Paul ",N,N GAN,"Le livre contemporain, 1960, 443 p.",,Napoleon I et les Napoleonides,
3620,Manuscrit venu de Ste-Helene d une maniere inconnue,"RUMILLY, Jean",N,N RUM,"Horizons de France, 1947, 158 p.",,Napoleon I et les Napoleonides,
3621,Conversations de Napoleon Bonaparte,"VOX, Maximilien",N,N VOX,"Culture, Art, Loisirs, 1967, 312 p.",,Napoleon I et les Napoleonides,
3622,Napoleon et ses parents au seuil de l histoire ,"CARRINGTON, Dorothy",N,N CAR,Editions Alain Piazzola & la Marge,,Napoleon I et les Napoleonides,
3623,Les derniers jours de l Empire,"LACHOUQUE, Henry (commandant)",N,N LAC,"Walter Beckers Editeur, s.d., 338 p.",,Napoleon I et les Napoleonides,
3624,Memoires et œuvres de Napoleon ,"MARTEL, Tancrede",N,N TAC,"Albin Michel, 1926, 470 p.",,Napoleon I et les Napoleonides,
3625,Les amours de Napoleon,"SAVANT, Jean ",N,N SAV,"Hachette, 1956, 301 p.",,Napoleon I et les Napoleonides,
3626,Napoleon et sa famille - VII - (1811 - 1813),"MASSON, Frederic",N,N MAS,"Societe d editions litteraires ert artistiques, 1906, 512 p.",,Napoleon I et les Napoleonides,
3627,Le roman de Napoleon,"MEREJKOVSKI, Dimitri",N,N MER,"Editions France Loisirs, 2005, 402 p.",,Napoleon I et les Napoleonides,
3628,La jeunesse de Bonaparte,"SOROKINE, Dimitri",N,N SOR,"Nathan, 1967, 160 p.",,Napoleon I et les Napoleonides,
3629,L etoile Napoleon ,"GENNARI, Genevieve",N,N GEN,"Imprimerie Herissey, 1954, 455 p.",,Napoleon I et les Napoleonides,
3630,Bonaparte en Italie,"SOREL, Albert",N,N SOR,"Flammarion, 1933, 128 p.",,Napoleon I et les Napoleonides,
3631,La journee de Napoleon,"MASSON, Frederic",N,N MAS,"Flammarion, 1934, 126 p.",,Napoleon I et les Napoleonides,
3632,Les pages immortelles de Napoleon choisies et expliquees ,"AUBRY, Octave",N,N AUB,"Editions Correa, 1941, 247 p.",,Napoleon I et les Napoleonides,
3634,L ogre - Quand Napoleon faisait trembler l Europe,"GRECE, Michel de",N,N GRE,"Olivier Orban, 1977, 404 p.",,Napoleon I et les Napoleonides,
3635,Napoleon et l economie dirigee - Le blocus continental,"JOUVENEL, Bertrand de",N,N JOU,"Editions de la toison d or, 1942, 373 p.",,Napoleon I et les Napoleonides,
3636,Sainte-Helene petite île,"CAHUET, Alberic",N,N CAH,"Les amateurs du livre choisi, 1932, 285 p.",,Napoleon I et les Napoleonides,
3637,Napoleon a Sainte-Helene,"THIERS, Adolf",N,N THI,"Casterman, 1960, 109 p.",,Napoleon I et les Napoleonides,
3638,L ascension de Bonaparte,"MADELIN, Louis",N,N MAD,"Hachette, 1937, 392 p.",,Napoleon I et les Napoleonides,
3639,Napoleon Bonaparte - Ainsi parle le chef,"BESANCON, Julien",N,N BES,"Balland, 1983, 143 p.",,Napoleon I et les Napoleonides,
3640,Ordre de l Empereur !,"GRAY, A. Ernest",N,N GRA,"Editions g.p. departement des presses de la cite, 1964, 186 p.",,Napoleon I et les Napoleonides,
3641,Bonaparte peint par lui-même,"DUHOURCAU, François",N,N DUH,"Editions Spes, 1937, 325 p.",,Napoleon I et les Napoleonides,
3642,Napoleon et l amour,"AUBRY, Octave",N,N AUB,"Flammarion, 1941, 249 p.",,Napoleon I et les Napoleonides,
3643,Le general Bonaparte,"CASTELOT, Andre ",N,N CAS,"Presses Pocket, 1971, 317 p.",,Napoleon I et les Napoleonides,
3644,Les trois amours de Napoleon,"BOISSARD, Janine",N,N BOI,"Presses Pocket, 1989, 413 p.",,Napoleon I et les Napoleonides,
3645,Bonaparte - Les annees obscures (1769 - 1795),"ESTRE, Henry d ",N,N EST,"Plon, 1942, 245 p.",,Napoleon I et les Napoleonides,
3646,La jeunesse de Bonaparte,"MAZE, Jules",N,N MAZ,"Editions Mame, 1931, 292 p.",,Napoleon I et les Napoleonides,
3647,Princesse Bibesco - Un tendre amour de Napoleon ,"DECAUX, Lucile",N,N DEC,"Grasset, 1959, 219 p.",,Napoleon I et les Napoleonides,
3648,L amazone de Napoleon - Memoires de Regula Engel,"FIECHTER, Jean-Jacques",N,N FIE,"Olivier Orban, 1985, 285 p.",,Napoleon I et les Napoleonides,
3649,Napoleon,"GENGEMBRE, Gerard",N,N GEM,"Larousse, 2001, 320 p.",,Napoleon I et les Napoleonides,
3650,L album de l Empereur,"GALLO, Max",N,N GAL,"Robert Laffont, 1997, 64 p.",,Napoleon I et les Napoleonides,
3651,Napoleon se rend aux Anglais,"MARTINEAU, Gilbert",N,N MAR,"Hachette, 1969, 284 p.",,Napoleon I et les Napoleonides,
3652,Ste Helene,"CASTELOT, Andre",N,N CAS,"Presses Pocket, 1971, 345 p.",,Napoleon I et les Napoleonides,
3653,Napoleon et l Empire,"HUART, Suzanne d ",N,N HUA,"Ouest Impressions Oberthur, 1990, 127 p.",,Napoleon I et les Napoleonides,
3654,Conseils a Napoleon,"FIEVEE, J. ",N,N FIE,"Horizons de France, 1836, 188 p.",,Napoleon I et les Napoleonides,
3655,Sainte-Helene au temps de Napoleon et aujourd hui,"HAUTERIVE, Ernest d ",N,N HAU,"Calman-Levy editeurs, 1933, 213 p.",,Napoleon I et les Napoleonides,
3656,Un historien americain analyse le monde a l heure de Napoleon,"HEROLD, Christopher",N,N HER,"Perrin, 1963, 435 p.",,Napoleon I et les Napoleonides,
3657,Napoleon,"MIGLIORINI, Luigi Mascilli",N,N MIG,"Perrin, 2002, 669 p.",,Napoleon I et les Napoleonides,
3658,"Napoleon a dit - Aphorismes, citations et opinions","REGENBOGEN, Lucian",N,N REG,"Les Belles Lettres, 1996, 457 p.",,Napoleon I et les Napoleonides,
3659,Bonaparte et Paoli - Aux origines de la question corse,"NAPOLEON, Charles",N,N NAP,"Perrin, 2000, 249 p.",,Napoleon I et les Napoleonides,
3660,Les drames inconnus de la cour de Napoleon - 1804,"GAVOTY, Andre",N,N GAV,"Fayard, 1962, 249 p.",,Napoleon I et les Napoleonides,
3662,La comedie des Bonaparte,"MANCERON, Anne &Claude",N,N MAN,"Dargaud, 1969, 141 p.",,Napoleon I et les Napoleonides,
3663,Le testament de Napoleon - Un etonnant destin ,"LEMAIRE, Jean",N,N LEM,"Plon, 1975, 249 p.",,Napoleon I et les Napoleonides,
3664,Napoleon unique,"RAYNAL, Paul",N,N RAY,"Stock, 1945, 191 p.",,Napoleon I et les Napoleonides,
3665,Le fils de l Empereur,"CASTELOT, Andre",N,N CAS,"Societe nouvelle des editions, 1960, 187 p.",,Napoleon I et les Napoleonides,
3666,Bellilotte et Bonaparte,"BRETON, Guy",N,N BRE,"Le Pre aux Clercs, 2001, 294 p.",,Napoleon I et les Napoleonides,
3667,Trois femmes et un empereur,"BOISSARD, Janine",N,N BOI,"France Loisirs, 1989, 320 p.",,Napoleon I et les Napoleonides,
3668,Letizia,"DECAUX, Alain",N,N DEC,"Memoire de l Histoire, 2001, 560 p.",,Napoleon I et les Napoleonides,
3669,Napoleon  - Chronique romanesque - Tome 1 . L etoile Bonaparte,"PEYRAMAURE, Michel",N,N PEY,"Robert Laffont, 1991, 577 p.",,Napoleon I et les Napoleonides,
3670,Histoires d amour de l Histoire de France - Napoleon et Marie-Louise,"BRETON, Guy",N,N BRE,"France Loisirs, 1979, 346 p.",,Napoleon I et les Napoleonides,
3671,Albine,"MAURY, Rene",N,N MAU,"Calman-Levy, 1998, 378 p.",,Napoleon I et les Napoleonides,
3672,Napoleon,"LENOTRE, G.",N,N LEN,"Gautier-Languereau, 1962, 306 p.",,Napoleon I et les Napoleonides,
3673,La vie de Napoleon a Sainte-Helene,INCONNU,N,N INC,"Inconnu, s.d., 492 p.",,Napoleon I et les Napoleonides,
3674,"La vie privee de l imperatrice Josephine par Melle Avrillon, sa premiere femme de chambre",AVRILLON,N,N AVR,"Societe d edition française et etrangere, s.d., 96 p.",,Napoleon I et les Napoleonides,
3675,Napoleon ignore,"BERTAUT, Jules",N,N BER,"SFELT,  1951, 301 p.",,Napoleon I et les Napoleonides,
3676,La grande pensee de Bonaparte,"COSTANTINI, Pierre",N,N CON,"Editions Baudiniere, 1941, 349 p.",,Napoleon I et les Napoleonides,
3677,Bonaparte en Egypte,"HEROLD, Christopher",N,N HER,"Plon, 1962, 507 p.",,Napoleon I et les Napoleonides,
3678,La vie tres inconvenante de Napoleon Bonaparte,"ROSTOPCHINE, Antoine de",N,N ROS,"Balland, 1983, 177 p.",,Napoleon I et les Napoleonides,
3679,Napoleon,"PHILIPPE, Julie",N,N PHI,"Nov edit, 2004, 96 p.",,Napoleon I et les Napoleonides,
3680,Ce qu a vu Goya - Napoleon devant l Espagne,"LUCAS-BRETON, J. ",N,N LUC,"Fayard, 1946, 533 p.",,Napoleon I et les Napoleonides,
3681,L e tombeau de Napoleon,"PAYARD, Pol (colonel)",N,N PAY,"Editions Albert Morance, s.d., 32 p.",,Napoleon I et les Napoleonides,
3682,Les faux Napoleon,"PIGAULT, Nathalie",N,N PIG,"CNRS Editions, 2018, 217 p. + annexes.",,Napoleon I et les Napoleonides,
3683,Napoleon - Deux cents ans de legende,"KERN, Emile",N,N KER,"SOTECA, 2016, 234 p.",,Napoleon I et les Napoleonides,
3684,Un banquet pour Napoleon,"OKOUDJAVA, Boulat",N,N OKO,"Albin Michel, 1985, 387 p.",Roman,Napoleon I et les Napoleonides,
3685,Dans l entourage de l Empereur,"DARD, Emile",N,N DAR,"Plon, 1940, 283 p.",,Napoleon I et les Napoleonides,
3686,Les Bonaparte - Des esprits rebelles,"NAPOLEON, Charles",N,N NAP,"Perrin, 2006, 294 p.",,Napoleon I et les Napoleonides,
3687,La genese de Napoleon - Sa formation intellectuelle et morale jusqu au siege de Toulon,"MARCAGGI, J.-B.",N,N MAR,"Perrin, 1902, 445 p.",,Napoleon I et les Napoleonides,
3688,Sainte-Helene,"GANIERE, Paul ",N,N GAN,"Le Livre Contemporain, 1957, 389 p.",,Napoleon I et les Napoleonides,
3689,Pauline Bonaparte - Princesse Borghese,"MARTINEAU, Gilbert",N,N MAR,"Editions France-Empire, 1986, 249 p.",,Napoleon I et les Napoleonides,
3690,Napoleon et Juan,"SAINT-LAURENT, Cecil",N,N STL,"Presses de la Cite, 1958, 555 p.",,Napoleon I et les Napoleonides,
3691,Dans l ombre de Bonaparte,"COMBEL, Claude",N,N COM,"Editions Garnier Freres, 1982, 243 p.",Roman,Napoleon I et les Napoleonides,
3692,Bonaparte - Les annees eblouissantes - Italie (1796 - 1797),"ESTRE, Henry d ",N,N EST,"Plon, 1944, 377 p.",,Napoleon I et les Napoleonides,
3693,Madame mere,"AUGUSTIN-THIERRY, A.",N,N AUG,"Albin Michel, 1939, 315 p.",,Napoleon I et les Napoleonides,
3694,Napoleon,"DUFRAISSE, Roger",N,N DUF,"PUF, 1987, 127 p.",,Napoleon I et les Napoleonides,
3695,Bonaparte et la Venitienne,"PETITHUGUENIN, Jean",N,N PET,"Editions Baudiniere, 1932, 282 p.",Roman,Napoleon I et les Napoleonides,
3696,Napoleon - L Empereur des rois,"GALLO, Max",N,N GAL,"LGLM, 1997, 423 p.",,Napoleon I et les Napoleonides,
3697,Josephine imperatrice et reine,"MASSON, Frederic",N,N MAS,"PROFIDU, 1979, 471 p.",,Napoleon I et les Napoleonides,
3698,Journal de Sainte-Helene (1815 - 1818),"GOURGAUD (general, baron)",N,N GOU,"Flammarion, 1947, 341 p.",,Napoleon I et les Napoleonides,
3699,Napoleon - Scenes et Figures,"RAT, Maurice",N,N RAT,"Albin Michel, 1964, 302 p.",,Napoleon I et les Napoleonides,
3700,Histoire de Napoleon,"BERTRAND, Louis",N,N BER,"Tours Maison Mame, s.d., 244 p.",,Napoleon I et les Napoleonides,
3701,Bonaparte et la Louisiane,"GARNIER, Michaël",N,N GAR,"SPM, 1992, 247 p.",,Napoleon I et les Napoleonides,
3702,Vie de Napoleon precede de Le poete de l Empereur par Marc Fumaroli,"CHATEAUBRIAND, François-Rene de",N,N CHA,"Editions de Fallois, 1999, 447 p.",,Napoleon I et les Napoleonides,
3703,L Aiglon,"ROSTAND, Edmond",N,N ROS,"Hachette, 1939, 256 p.",,Napoleon I et les Napoleonides,
3704,Vendetta contre Bonaparte,"PETITHUGUENIN, Jean",N,N PET,"Editions Baudiniere, 1928, 286 p.",Roman,Napoleon I et les Napoleonides,
3705,Napoleon,"LUCAS-BRETON, J. ",N,N LUC,"Fayard, 1942, 267 p.",,Napoleon I et les Napoleonides,
